2023-01-18 16:43:06;set bookmark ;2023-01-18 16:43:09;3.00;472.00
2023-01-18 16:43:09;go 5 lines down ;2023-01-18 16:43:15;6.00;475.00
2023-01-18 16:43:15;select 10 lines  ;2023-01-18 16:43:21;6.00;481.00
2023-01-18 16:43:21;cut ;2023-01-18 16:43:26;5.00;487.00
2023-01-18 16:43:26;standby 30 sec ;2023-01-18 16:43:56;30.00;492.00
2023-01-18 16:43:56;go 5 lines down ;2023-01-18 16:43:59;3.00;522.00
2023-01-18 16:43:59;paste ;2023-01-18 16:44:04;5.00;525.00
2023-01-18 16:44:04;close ;2023-01-18 16:44:07;3.00;530.00
2023-01-18 16:44:07;discard the current file  ;2023-01-18 16:44:18;11.00;533.00
2023-01-18 16:44:18;open new file ;2023-01-18 16:44:23;5.00;544.00
2023-01-18 16:44:23;standby 5 sec ;2023-01-18 16:44:28;5.00;549.00
2023-01-18 16:44:28;type lorem ipsum ;2023-01-18 16:44:58;30.00;554.00
2023-01-18 16:44:58;enable spell checking ;2023-01-18 16:45:03;5.00;584.00
2023-01-18 16:45:03;toggle line numbers ;2023-01-18 16:45:08;5.00;589.00
2023-01-18 16:45:08;go to the begining of the line ;2023-01-18 16:45:13;5.00;594.00
2023-01-18 16:45:13;disable spell checking ;2023-01-18 16:45:18;5.00;599.00
2023-01-18 16:45:18;uppercase ;2023-01-18 16:45:21;3.00;604.00
2023-01-18 16:45:21;toggle line numbers ;2023-01-18 16:45:26;5.00;607.00
2023-01-18 16:45:26;lowercase ;2023-01-18 16:45:31;5.00;612.00
2023-01-18 16:45:31;save file ;2023-01-18 16:45:40;9.00;617.00
2023-01-18 16:45:40;create new file ;2023-01-18 16:45:45;5.00;626.00
2023-01-18 16:45:45;type lorem ipsum ;2023-01-18 16:46:10;25.00;631.00
2023-01-18 16:46:10;quit kate ;2023-01-18 16:46:19;9.00;656.00
2023-01-18 16:46:19;;2023-01-18 16:46:22;3.00;665.00
2023-01-18 16:46:22;;2023-01-18 16:46:29;7.00;668.00
2023-01-18 16:46:29;go to line 100 ;2023-01-18 16:46:34;5.00;675.00
2023-01-18 16:46:34;toggle comment ;2023-01-18 16:46:38;4.00;680.00
2023-01-18 16:46:38;find kconfig ;2023-01-18 16:46:43;5.00;684.00
2023-01-18 16:46:43;move between searches 6 times  ;2023-01-18 16:46:53;10.00;689.00
2023-01-18 16:46:53;close find bar ;2023-01-18 16:46:53;0.00;699.00
2023-01-18 16:46:53;standby 30 sec ;2023-01-18 16:47:23;30.00;699.00
2023-01-18 16:47:23;go to line 200 ;2023-01-18 16:47:28;5.00;729.00
2023-01-18 16:47:28;select 10 lines ;2023-01-18 16:47:31;3.00;734.00
2023-01-18 16:47:31;delete selected text ;2023-01-18 16:47:41;10.00;737.00
2023-01-18 16:47:41;go 5 lines down ;2023-01-18 16:47:43;2.00;747.00
2023-01-18 16:47:43;delete line ;2023-01-18 16:47:53;10.00;749.00
2023-01-18 16:47:53;undo ;2023-01-18 16:47:55;2.00;759.00
2023-01-18 16:47:55;undo again ;2023-01-18 16:47:57;2.00;761.00
2023-01-18 16:47:57;redo ;2023-01-18 16:48:02;5.00;763.00
2023-01-18 16:48:02;increase font size ;2023-01-18 16:48:08;6.00;768.00
2023-01-18 16:48:08;toggle folding ;2023-01-18 16:48:16;8.00;774.00
2023-01-18 16:48:16;decrease font size  ;2023-01-18 16:48:22;6.00;782.00
2023-01-18 16:48:22;enter full screen mode ;2023-01-18 16:48:27;5.00;788.00
2023-01-18 16:48:27;exit full screen mode ;2023-01-18 16:48:32;5.00;793.00
2023-01-18 16:48:32;print preview ;2023-01-18 16:48:38;6.00;798.00
2023-01-18 16:48:38;go 2 lines down ;2023-01-18 16:48:40;2.00;804.00
2023-01-18 16:48:40;set bookmark ;2023-01-18 16:48:43;3.00;806.00
2023-01-18 16:48:43;go 5 lines down ;2023-01-18 16:48:49;6.00;809.00
2023-01-18 16:48:49;select 10 lines  ;2023-01-18 16:48:55;6.00;815.00
2023-01-18 16:48:55;cut ;2023-01-18 16:49:00;5.00;821.00
2023-01-18 16:49:00;standby 30 sec ;2023-01-18 16:49:30;30.00;826.00
2023-01-18 16:49:30;go 5 lines down ;2023-01-18 16:49:33;3.00;856.00
2023-01-18 16:49:33;paste ;2023-01-18 16:49:38;5.00;859.00
2023-01-18 16:49:38;close ;2023-01-18 16:49:41;3.00;864.00
2023-01-18 16:49:41;discard the current file  ;2023-01-18 16:49:52;11.00;867.00
2023-01-18 16:49:52;open new file ;2023-01-18 16:49:57;5.00;878.00
2023-01-18 16:49:57;standby 5 sec ;2023-01-18 16:50:02;5.00;883.00
2023-01-18 16:50:02;type lorem ipsum ;2023-01-18 16:50:32;30.00;888.00
2023-01-18 16:50:32;enable spell checking ;2023-01-18 16:50:37;5.00;918.00
2023-01-18 16:50:37;toggle line numbers ;2023-01-18 16:50:42;5.00;923.00
2023-01-18 16:50:42;go to the begining of the line ;2023-01-18 16:50:47;5.00;928.00
2023-01-18 16:50:47;disable spell checking ;2023-01-18 16:50:52;5.00;933.00
2023-01-18 16:50:52;uppercase ;2023-01-18 16:50:55;3.00;938.00
2023-01-18 16:50:55;toggle line numbers ;2023-01-18 16:51:00;5.00;941.00
2023-01-18 16:51:00;lowercase ;2023-01-18 16:51:05;5.00;946.00
2023-01-18 16:51:05;save file ;2023-01-18 16:51:14;9.00;951.00
2023-01-18 16:51:14;create new file ;2023-01-18 16:51:19;5.00;960.00
2023-01-18 16:51:19;type lorem ipsum ;2023-01-18 16:51:44;25.00;965.00
2023-01-18 16:51:44;quit kate ;2023-01-18 16:51:53;9.00;990.00
2023-01-18 16:51:53;;;;999.00
