iteration 3;2023-02-01 09:05:49;;delete line 
iteration 3;2023-02-01 09:05:59;;undo 
iteration 3;2023-02-01 09:06:01;;undo again 
iteration 3;2023-02-01 09:06:03;;redo 
iteration 3;2023-02-01 09:06:08;;increase font size 
iteration 3;2023-02-01 09:06:14;;toggle folding 
iteration 3;2023-02-01 09:06:22;;decrease font size  
iteration 3;2023-02-01 09:06:28;;enter full screen mode 
iteration 3;2023-02-01 09:06:33;;exit full screen mode 
iteration 3;2023-02-01 09:06:38;;print preview 
iteration 3;2023-02-01 09:06:44;;go 2 lines down 
iteration 3;2023-02-01 09:06:46;;set bookmark 
iteration 3;2023-02-01 09:06:49;;go 5 lines down 
iteration 3;2023-02-01 09:06:55;;select 10 lines  
iteration 3;2023-02-01 09:07:01;;cut 
iteration 3;2023-02-01 09:07:06;;standby 30 sec 
